Event,Time,Period,Team Name,Name,Outcome,Player
1,00:00:05,1,Denn,Substitution,Substitution,Player 10
2,00:00:21,1,Killinkere,Possession lost,Kick pass,Darren Smith
3,00:00:36,1,Killinkere,Turnover,In Contact,Benny McConnell
4,00:00:41,1,Denn,Attacks,Kick lost,
5,00:00:46,1,Killinkere,Attacks,Kick lost,
6,00:01:07,1,Killinkere,Free conceded,Attacking third,Kevin McCabe
7,00:01:13,1,Killinkere,Attacks,Kick lost,Kevin McCabe
8,00:01:41,1,Denn,Shot from play,Short,Player 8
9,00:01:47,1,Denn,Attacks,Shot taken,Player 8
10,00:01:59,1,Killinkere,Possession lost,Kick pass,Luke Crossan
11,00:02:03,1,Killinkere,Attacks,Kick lost,Luke Crossan
12,00:03:04,1,Denn,Shot from play,2 Points,Player 13
13,00:03:10,1,Denn,Attacks,Shot taken,Player 13
14,00:03:53,1,Killinkere,Kickout,Won clean,Kevin McCabe
15,00:04:10,1,Denn,Free conceded,Middle third,Player 14
16,00:04:32,1,Denn,Free conceded,Defensive third,Player 9
17,00:04:52,1,Killinkere,Scoreable free,Point,Emmett Fitzsimons
18,00:04:59,1,Killinkere,Attacks,Mark taken,Darren Smith
19,00:05:19,1,Killinkere,Free conceded,Middle third,
20,00:05:44,1,Denn,Shot from play,Point,Player 14
21,00:05:55,1,Denn,Attacks,Shot taken,
22,00:05:58,1,Killinkere,Kickout,Short won,Gearoid Traynor
23,00:06:24,1,Killinkere,Possession lost,Handling,James Farrelly
24,00:06:28,1,Killinkere,Attacks,Carry lost,James Farrelly
25,00:07:16,1,Denn,Free conceded,Attacking third,Player 3
26,00:07:58,1,Killinkere,Shot from play,Point,Ryan Smith
27,00:08:06,1,Killinkere,Attacks,Shot taken,Ryan Smith
28,00:08:10,1,Denn,Kickout,Won clean,Player 7
29,00:08:36,1,Denn,Attacks,Shot taken,Player 15
30,00:08:42,1,Killinkere,Kickout,Break won,Kevin McCabe
31,00:09:09,1,Killinkere,Possession lost,Kick pass,Fintan O’Connell
32,00:09:12,1,Killinkere,Attacks,Kick lost,Fintan O’Connell
33,00:09:47,1,Killinkere,Free conceded,Defensive third,Gearoid Traynor
34,00:10:27,1,Denn,Scoreable free,2 Points,Player 15
35,00:10:40,1,Killinkere,Kickout,Break won,Phelim Cusack
36,00:10:57,1,Killinkere,Free conceded,Middle third,Phelim Cusack
37,00:11:06,1,Denn,Scoreable free,2 Points,Player 15
38,00:11:26,1,Killinkere,Kickout,Break won,Kevin McCabe
